AssetName,AssetType,CompressedSize,InstalledSize,OptionalSize,StreamingSize,UncompressedSize
/ACLPlugin/ACLAnimBoneCompressionSettings.ACLAnimBoneCompressionSettings,/Script/Engine.AnimBoneCompressionSettings,532,532,0,0,532
/Engine/Animation/DefaultAnimBoneCompressionSettings.DefaultAnimBoneCompressionSettings,/Script/Engine.AnimBoneCompressionSettings,923,923,0,0,2297
/Engine/Animation/DefaultRecorderBoneCompression.DefaultRecorderBoneCompression,/Script/Engine.AnimBoneCompressionSettings,524,524,0,0,524
/ACLPlugin/ACLAnimCurveCompressionSettings.ACLAnimCurveCompressionSettings,/Script/Engine.AnimCurveCompressionSettings,520,520,0,0,520
/Engine/Animation/DefaultAnimCurveCompressionSettings.DefaultAnimCurveCompressionSettings,/Script/Engine.AnimCurveCompressionSettings,520,520,0,0,520
/Game/Characters/Heroes/Mannequin/Animations/UniformIndexableCurveCompressionSettings.UniformIndexableCurveCompressionSettings,/Script/Engine.AnimCurveCompressionSettings,584,584,0,0,584
/AFLBagMan/Abilities/BeamCutter/GA_AFL_BeamCutter.GA_AFL_BeamCutter,/Script/Engine.Blueprint,702,702,0,0,1054
/AFLBagMan/Abilities/Converge/GA_AFL_Beam_Converge.GA_AFL_Beam_Converge,/Script/Engine.Blueprint,1792,1792,0,0,3470
/AFLBagMan/Abilities/EMP/B_BagMan_EMP.B_BagMan_EMP,/Script/Engine.Blueprint,6907,6907,0,0,22275
/AFLBagMan/Abilities/EMP/GA_BagMan_EMP.GA_BagMan_EMP,/Script/Engine.Blueprint,5127,5127,0,0,17810
/AFLBagMan/Abilities/EMPDevice/B_AFL_EMPDevice.B_AFL_EMPDevice,/Script/Engine.Blueprint,2655,2655,0,0,5343
/AFLBagMan/Abilities/EMPDevice/B_AFL_EMPPuck.B_AFL_EMPPuck,/Script/Engine.Blueprint,7059,7059,0,0,23396
/AFLBagMan/Abilities/EMPDevice/GA_AFL_EMP.GA_AFL_EMP,/Script/Engine.Blueprint,1665,1665,0,0,3300
/AFLBagMan/Abilities/EMPDevice/GE_AFL_EMP_Disable.GE_AFL_EMP_Disable,/Script/Engine.Blueprint,985,985,0,0,985
/AFLBagMan/Abilities/Flak/GA_AFL_Flak.GA_AFL_Flak,/Script/Engine.Blueprint,1683,1683,0,0,3279
/AFLBagMan/Abilities/GA_AFL_AutoRespawn.GA_AFL_AutoRespawn,/Script/Engine.Blueprint,5738,5738,0,0,19547
/AFLBagMan/Abilities/GA_AFL_GrantLoadout.GA_AFL_GrantLoadout,/Script/Engine.Blueprint,1639,1639,0,0,3375
/AFLBagMan/Abilities/Lobber/B_AFL_Lobber_Projectile.B_AFL_Lobber_Projectile,/Script/Engine.Blueprint,7103,7103,0,0,22957
/AFLBagMan/Abilities/Lobber/GA_AFL_Lobber_ArcLob.GA_AFL_Lobber_ArcLob,/Script/Engine.Blueprint,1695,1695,0,0,3358
/AFLBagMan/Abilities/Railgun/GA_AFL_Railgun.GA_AFL_Railgun,/Script/Engine.Blueprint,1688,1688,0,0,3298
/AFLBagMan/Abilities/Rocket/B_AFL_Rocket_Projectile.B_AFL_Rocket_Projectile,/Script/Engine.Blueprint,7107,7107,0,0,22960
/AFLBagMan/Abilities/Rocket/GA_AFL_Rocket.GA_AFL_Rocket,/Script/Engine.Blueprint,1673,1673,0,0,3315
/AFLBagMan/Abilities/Rocket/GA_AFL_Rocket_Homing.GA_AFL_Rocket_Homing,/Script/Engine.Blueprint,1696,1696,0,0,3356
/AFLBagMan/Abilities/Seeker/B_AFL_Seeker_Projectile.B_AFL_Seeker_Projectile,/Script/Engine.Blueprint,7106,7106,0,0,22960
/AFLBagMan/Abilities/Seeker/GA_AFL_Seeker.GA_AFL_Seeker,/Script/Engine.Blueprint,1676,1676,0,0,3318
/AFLBagMan/Abilities/Shield/B_AFL_ShieldBarrier.B_AFL_ShieldBarrier,/Script/Engine.Blueprint,1121,1121,0,0,2119
/AFLBagMan/Abilities/Shield/B_AFL_ShieldPuck.B_AFL_ShieldPuck,/Script/Engine.Blueprint,7042,7042,0,0,23316
/AFLBagMan/Abilities/Shield/GA_AFL_Shield.GA_AFL_Shield,/Script/Engine.Blueprint,1663,1663,0,0,3308
/AFLBagMan/Abilities/SMG/GA_AFL_SMG.GA_AFL_SMG,/Script/Engine.Blueprint,1759,1759,0,0,3395
/AFLBagMan/Abilities/Volt/B_AFL_Volt_Projectile.B_AFL_Volt_Projectile,/Script/Engine.Blueprint,7101,7101,0,0,22949
/AFLBagMan/Abilities/Volt/GA_AFL_Volt_ArcLob.GA_AFL_Volt_ArcLob,/Script/Engine.Blueprint,1696,1696,0,0,3338
/AFLBagMan/Characters/B_AFL_TargetDummy.B_AFL_TargetDummy,/Script/Engine.Blueprint,1626,1626,0,0,3392
/AFLBagMan/Characters/B_BagMan_AssignCharacterPart.B_BagMan_AssignCharacterPart,/Script/Engine.Blueprint,931,931,0,0,931
/AFLBagMan/Characters/B_Hero_BagMan.B_Hero_BagMan,/Script/Engine.Blueprint,2821,2821,0,0,6183
/AFLBagMan/Characters/B_Hero_BagMan_Pro.B_Hero_BagMan_Pro,/Script/Engine.Blueprint,2640,2640,0,0,5398
/AFLBagMan/Characters/Cosmetics/B_AFL_CharacterPartSelector.B_AFL_CharacterPartSelector,/Script/Engine.Blueprint,948,948,0,0,948
/AFLBagMan/Characters/Cosmetics/B_AFL_SkinColorController.B_AFL_SkinColorController,/Script/Engine.Blueprint,933,933,0,0,933
/AFLBagMan/Effects/GE_AFL_SMG_Overheat.GE_AFL_SMG_Overheat,/Script/Engine.Blueprint,969,969,0,0,969
/AFLBagMan/Energy/B_AFL_EnergyDropComponent.B_AFL_EnergyDropComponent,/Script/Engine.Blueprint,671,671,0,0,1155
/AFLBagMan/Equipment/B_WeaponInstance_AFL_Akuma.B_WeaponInstance_AFL_Akuma,/Script/Engine.Blueprint,1506,1506,0,0,3613
/AFLBagMan/Equipment/B_WeaponInstance_AFL_Arclight.B_WeaponInstance_AFL_Arclight,/Script/Engine.Blueprint,1497,1497,0,0,3606
/AFLBagMan/Equipment/B_WeaponInstance_AFL_Aria.B_WeaponInstance_AFL_Aria,/Script/Engine.Blueprint,1502,1502,0,0,3605
/AFLBagMan/Equipment/B_WeaponInstance_AFL_Astra.B_WeaponInstance_AFL_Astra,/Script/Engine.Blueprint,1504,1504,0,0,3613
/AFLBagMan/Equipment/B_WeaponInstance_AFL_Aurelia.B_WeaponInstance_AFL_Aurelia,/Script/Engine.Blueprint,1505,1505,0,0,3613
/AFLBagMan/Equipment/B_WeaponInstance_AFL_Azura.B_WeaponInstance_AFL_Azura,/Script/Engine.Blueprint,1504,1504,0,0,3613
/AFLBagMan/Equipment/B_WeaponInstance_AFL_BeamCutter.B_WeaponInstance_AFL_BeamCutter,/Script/Engine.Blueprint,1505,1505,0,0,3629
/AFLBagMan/Equipment/B_WeaponInstance_AFL_BigSixx.B_WeaponInstance_AFL_BigSixx,/Script/Engine.Blueprint,1507,1507,0,0,3613
/AFLBagMan/Equipment/B_WeaponInstance_AFL_Breachbolt.B_WeaponInstance_AFL_Breachbolt,/Script/Engine.Blueprint,1509,1509,0,0,3629
/AFLBagMan/Equipment/B_WeaponInstance_AFL_Breacher.B_WeaponInstance_AFL_Breacher,/Script/Engine.Blueprint,1496,1496,0,0,3606
/AFLBagMan/Equipment/B_WeaponInstance_AFL_Cielo.B_WeaponInstance_AFL_Cielo,/Script/Engine.Blueprint,1504,1504,0,0,3613
/AFLBagMan/Equipment/B_WeaponInstance_AFL_Coralis.B_WeaponInstance_AFL_Coralis,/Script/Engine.Blueprint,1505,1505,0,0,3613
/AFLBagMan/Equipment/B_WeaponInstance_AFL_DE42.B_WeaponInstance_AFL_DE42,/Script/Engine.Blueprint,1324,1324,0,0,3075
/AFLBagMan/Equipment/B_WeaponInstance_AFL_Draco.B_WeaponInstance_AFL_Draco,/Script/Engine.Blueprint,1506,1506,0,0,3613
/AFLBagMan/Equipment/B_WeaponInstance_AFL_Duskbeam.B_WeaponInstance_AFL_Duskbeam,/Script/Engine.Blueprint,1506,1506,0,0,3621
/AFLBagMan/Equipment/B_WeaponInstance_AFL_Ember.B_WeaponInstance_AFL_Ember,/Script/Engine.Blueprint,1506,1506,0,0,3613
/AFLBagMan/Equipment/B_WeaponInstance_AFL_Emberpulse.B_WeaponInstance_AFL_Emberpulse,/Script/Engine.Blueprint,1505,1505,0,0,3629
/AFLBagMan/Equipment/B_WeaponInstance_AFL_EMP.B_WeaponInstance_AFL_EMP,/Script/Engine.Blueprint,1504,1504,0,0,3605
/AFLBagMan/Equipment/B_WeaponInstance_AFL_FANATICS.B_WeaponInstance_AFL_FANATICS,/Script/Engine.Blueprint,1507,1507,0,0,3621
/AFLBagMan/Equipment/B_WeaponInstance_AFL_Flak.B_WeaponInstance_AFL_Flak,/Script/Engine.Blueprint,1505,1505,0,0,3605
/AFLBagMan/Equipment/B_WeaponInstance_AFL_GTM.B_WeaponInstance_AFL_GTM,/Script/Engine.Blueprint,1492,1492,0,0,3590
